WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
Are                      1     1     3     3     1     1   216     1     1     0     351
tourists                 1     1     8     8     6     2   156     2     2    -5       3
enticed                  1     1     7     7    17     3   227     4     4   -11       1
these                    1     1     5     5    25     5   187     1     1    -8      73
attractions              1     1    11    11    33     6   182     3     3    -8       2
threatening              1     1    11    11    44     7    96     2     2   -11       3
*Blink                   1   -99    11    11   -99   -99    82   -99   -99   -99     -99
threatening              1     1    11    11    52     7   232    10    10   -99       3
very                     1     1     4     4    62     9   335     2     2   -10      56
their                    1     1     5     5    57     8   168     3     3     5     225
existence?               1     1    10     9    65    10   173     0     0    -8       4
existence?               1     1    10     9    71    10   188     6     6    -6       4
existence?               1     1    10     9    72    10    88     7     7    -1       4
enticed                  1     1     7     7    19     3   174     6     6    53       1
these                    1     1     5     5    29     5   168     5     5   -10      73
these                    1     1     5     5    28     5   170     4     4     1      73
attractions              1     1    11    11    36     6   271     6     6    -8       2
attractions              1     1    11    11    34     6    88     4     4     2       2
threatening              1     1    11    11    46     7   232     4     4   -12       3
very                     1     1     4     4    61     9   202     1     1   -15      56
existence?               1     1    10     9    72    10   222     7     7   -11       4
existence?               1     1    10     9    74    10   157     9     9    -2       4
two                      1     2     3     3     5    12   314     1     1   -99      43
sea-lions                1     2     9     9    15    14   265     1     1   -10     -99
took                     1     2     4     4    24    15   186     0     0    -9      17
not                      1     2     3     3    31    16   176     2     2    -7     277
slightest                1     2     9     9    42    18    55     5     5   -11       3
*Blink                   1   -99     9     9   -99   -99    86   -99   -99   -99     -99
not                      1     2     3     3    31    16   327     2     2   -99     277
not                      1     2     3     3    29    16   152     0     0     2     277
interest                 1     2     8     8    49    19   198     2     2   -20      17
our                      1     2     3     3    61    21   284     2     2   -12      84
interest                 1     2     8     8    52    19   329     5     5     9      17
in                       1     2     2     2    58    20   266     2     2    -6    1091
arrival.                 1     2     8     7    71    22   187     8     8   -13       2
They                     1     2     4     4    73    23   154     1     1    -2     258
were                     1     3     4     4     4    24   265     4     4   -99     106
the                      1     3     3     3    17    27   191     1     1   -13    3511
jetty,                   1     3     6     5    23    28   208     3     3    -6       1
rolling                  1     3     7     7    32    29   203     5     5    -9       1
and                      1     3     3     3    42    31   256     2     2   -10    1283
and                      1     3     3     3    41    31    70     1     1     1    1283
tumbling                 1     3     8     8    50    32   217     6     6    -9       1
the                      1     3     3     3    60    34   219     2     2   -10    3511
into                     1     3     4     4    56    33   143     3     3     4      82
together,                1     3     9     8    69    36   149     1     1   -13       5
together,                1     3     9     8    73    36   164     5     5    -4       5
entirely                 1     4     8     8     5    37   294     5     5   -99       9
ignoring                 1     4     8     8    17    38    84     8     8   -12       1
*Blink                   1   -99     8     8   -99   -99    89   -99   -99   -99     -99
human                    1     4     5     5    25    40   243     3     3   -99      25
human                    1     4     5     5    25    40    78     3     3     0      25
beings                   1     4     6     6    31    41   355     3     3    -6       4
edging                   1     4     6     6    39    42   240     4     4    -8       1
awkwardly                1     4     9     9    47    43   193     5     5    -8       1
round                    1     4     5     5    56    44   274     4     4    -9      11
awkwardly                1     4     9     9    46    43   258     4     4    10       1
awkwardly                1     4     9     9    44    43   177     2     2     2       1
round                    1     4     5     5    57    44   328     5     5   -13      11
Our                      1     4     3     3    66    46   291     2     2    -9      84
party                    1     4     5     5    72    47   189     4     4    -6      22
then                     1     4     4     4    75    48   150     1     1    -3      71
*Off-screen              1   -99     4     4   -99   -99   132   -99   -99   -99     -99
strange                  2     1     7     7     3    62   216     3     3     0       8
creatures                2     1     9     9    11    63   221     3     3    -8       3
richly                   2     1     6     6    24    65   206     1     1   -13       2
coloured                 2     1     8     8    32    66   218     2     2    -8       1
velvet                   2     1     6     6    42    67   296     3     3   -10       1
coats,                   2     1     6     5    48    68   202     2     2    -6       2
looking                  2     1     7     7    56    69    90     3     3    -8      13
