WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
Are                      1     1     3     3     1     1   216     1     1     1     351
tourists                 1     1     8     8     6     2   156     2     2     2       3
enticed                  1     1     7     7    17     3   227     4     4     3       1
enticed                  1     1     7     7    19     3   174     6     6    14       1
by                     -99     0     0     0     0     4     0     0     0     0       0
these                    1     1     5     5    25     5   187     1     1     4      73
these                    1     1     5     5    29     5   168     5     5    15      73
these                    1     1     5     5    28     5   170     4     4    16      73
attractions              1     1    11    11    33     6   182     3     3     5       2
attractions              1     1    11    11    36     6   271     6     6    17       2
attractions              1     1    11    11    34     6    88     4     4    18       2
threatening              1     1    11    11    44     7    96     2     2     6       3
threatening              1     1    11    11    52     7   232    10    10     8       3
threatening              1     1    11    11    46     7   232     4     4    19       3
their                    1     1     5     5    57     8   168     3     3    10     225
very                     1     1     4     4    62     9   335     2     2     9      56
very                     1     1     4     4    61     9   202     1     1    20      56
existence?               1     1    10     9    65    10   173     0     0    11       4
existence?               1     1    10     9    71    10   188     6     6    12       4
existence?               1     1    10     9    72    10    88     7     7    13       4
existence?               1     1    10     9    72    10   222     7     7    21       4
existence?               1     1    10     9    74    10   157     9     9    22       4
The                    -99     0     0     0     0    11     0     0     0     0       0
two                      1     2     3     3     5    12   314     1     1    23      43
young                  -99     0     0     0     0    13     0     0     0     0       0
sea-lions                1     2     9     9    15    14   265     1     1    24     -99
took                     1     2     4     4    24    15   186     0     0    25      17
not                      1     2     3     3    31    16   176     2     2    26     277
not                      1     2     3     3    31    16   327     2     2    29     277
not                      1     2     3     3    29    16   152     0     0    30     277
the                    -99     0     0     0     0    17     0     0     0     0       0
slightest                1     2     9     9    42    18    55     5     5    27       3
interest                 1     2     8     8    49    19   198     2     2    31      17
interest                 1     2     8     8    52    19   329     5     5    33      17
in                       1     2     2     2    58    20   266     2     2    34    1091
our                      1     2     3     3    61    21   284     2     2    32      84
arrival.                 1     2     8     7    71    22   187     8     8    35       2
They                     1     2     4     4    73    23   154     1     1    36     258
were                     1     3     4     4     4    24   265     4     4    37     106
playing                -99     0     0     0     0    25     0     0     0     0       0
on                     -99     0     0     0     0    26     0     0     0     0       0
the                      1     3     3     3    17    27   191     1     1    38    3511
jetty,                   1     3     6     5    23    28   208     3     3    39       1
rolling                  1     3     7     7    32    29   203     5     5    40       1
over                   -99     0     0     0     0    30     0     0     0     0       0
and                      1     3     3     3    42    31   256     2     2    41    1283
and                      1     3     3     3    41    31    70     1     1    42    1283
tumbling                 1     3     8     8    50    32   217     6     6    43       1
into                     1     3     4     4    56    33   143     3     3    45      82
the                      1     3     3     3    60    34   219     2     2    44    3511
water                  -99     0     0     0     0    35     0     0     0     0       0
together,                1     3     9     8    69    36   149     1     1    46       5
together,                1     3     9     8    73    36   164     5     5    47       5
entirely                 1     4     8     8     5    37   294     5     5    48       9
ignoring                 1     4     8     8    17    38    84     8     8    49       1
the                    -99     0     0     0     0    39     0     0     0     0       0
human                    1     4     5     5    25    40   243     3     3    51      25
human                    1     4     5     5    25    40    78     3     3    52      25
beings                   1     4     6     6    31    41   355     3     3    53       4
edging                   1     4     6     6    39    42   240     4     4    54       1
awkwardly                1     4     9     9    47    43   193     5     5    55       1
awkwardly                1     4     9     9    46    43   258     4     4    57       1
awkwardly                1     4     9     9    44    43   177     2     2    58       1
round                    1     4     5     5    56    44   274     4     4    56      11
round                    1     4     5     5    57    44   328     5     5    59      11
them.                  -99     0     0     0     0    45     0     0     0     0       0
Our                      1     4     3     3    66    46   291     2     2    60      84
party                    1     4     5     5    72    47   189     4     4    61      22
then                     1     4     4     4    75    48   150     1     1    62      71
had                    -99     0     0     0     0    49     0     0     0     0       0
to                     -99     0     0     0     0    50     0     0     0     0       0
step                   -99     0     0     0     0    51     0     0     0     0       0
